REGISTERED VOTERS PER POLLING STATION FOR THE 2022 GENERAL ELECTION,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
CountyCode,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. CentreCode,Reg. Centre Name,Polling Station Code,Polling Station Name Name,Registered Voters
016,MACHAKOS,082,MWALA,0405,MBIUNI,012,MUMBUNI PRIMARY SCHOOL,016082040501201,MUMBUNI PRIMARY SCHOOL,433
016,MACHAKOS,082,MWALA,0405,MBIUNI,012,MUMBUNI PRIMARY SCHOOL,016082040501202,MUMBUNI PRIMARY SCHOOL,432
016,MACHAKOS,082,MWALA,0405,MBIUNI,013,NZOLOLO PRIMARY SCHOOL,016082040501301,NZOLOLO PRIMARY SCHOOL,394
016,MACHAKOS,082,MWALA,0405,MBIUNI,013,NZOLOLO PRIMARY SCHOOL,016082040501302,NZOLOLO PRIMARY SCHOOL,394
016,MACHAKOS,082,MWALA,0405,MBIUNI,014,KOMBE PRIMARY SCHOOL,016082040501401,KOMBE PRIMARY SCHOOL,509
016,MACHAKOS,082,MWALA,0405,MBIUNI,015,ETIKONI PRIMARY SCHOOL,016082040501501,ETIKONI PRIMARY SCHOOL,547
016,MACHAKOS,082,MWALA,0405,MBIUNI,016,NGUNYUMU PRIMARY SCHOOL,016082040501601,NGUNYUMU PRIMARY SCHOOL,310
016,MACHAKOS,082,MWALA,0405,MBIUNI,017,KATHYOLI PRIMARY SCHOOL,016082040501701,KATHYOLI PRIMARY SCHOOL,484
016,MACHAKOS,082,MWALA,0405,MBIUNI,018,KITWAMBA PRIMARY SCHOOL,016082040501801,KITWAMBA PRIMARY SCHOOL,320
016,MACHAKOS,082,MWALA,0405,MBIUNI,019,KAMUYA PRIMARY SCHOOL,016082040501901,KAMUYA PRIMARY SCHOOL,599
016,MACHAKOS,082,MWALA,0405,MBIUNI,020,KWA MUTIA PRIMARY SCHOOL,016082040502001,KWA MUTIA PRIMARY SCHOOL,280
016,MACHAKOS,082,MWALA,0405,MBIUNI,021,MAKILIVA PRIMARY SCHOOL,016082040502101,MAKILIVA PRIMARY SCHOOL,4 12
016,MACHAKOS,082,MWALA,0405,MBIUNI,021,MAKILIVA PRIMARY SCHOOL,016082040502102,MAKILIVA PRIMARY SCHOOL,4 12
016,MACHAKOS,082,MWALA,0405,MBIUNI,022,KALAU PRIMARY SCHOOL,016082040502201,KALAU PRIMARY SCHOOL,4 18
016,MACHAKOS,082,MWALA,0405,MBIUNI,023,KIMUUNI PRIMARY SCHOOL,016082040502301,KIMUUNI PRIMARY SCHOOL,181
016,MACHAKOS,082,MWALA,0405,MBIUNI,024,KIKUUNI PRIMARY SCHOOL,016082040502401,KIKUUNI PRIMARY SCHOOL,382
016,MACHAKOS,082,MWALA,0405,MBIUNI,025,MASAW'A PRIMARY SCHOOL,016082040502501,MASAW'A PRIMARY SCHOOL,436
016,MACHAKOS,082,MWALA,0405,MBIUNI,026,MISELENI PRIMARY SCHOOL,016082040502601,MISELENI PRIMARY SCHOOL,225
016,MACHAKOS,082,MWALA,0406,MAKUTANO/ MWALA,027,MUSAALANI PRIMARY SCHOOL,016082040602701,MUSAALANI PRIMARY SCHOOL,698
